- kgethegilego	special
kgahliša	freeze
kgahlišago / bogegago	attractive
kgahlo / themo	viscosity
kgahlofalo / kgahlo	crystallisation
kgaka	guinea fowl
kgakanego	frustration
kgalemela sebapadi / lemoša sebapadi	caution a player / take a name
kgalemo / go raka / go ntšha	disciplinary sanction
kgamega / beta / betwa	choke
kgamolo / momo / khupo / kanyo	absorption
kganano	repulsion
kganano	veto
kganetšo	opposition
kgangwa / tlenya	suffocate
kgangwa ke meetse / betwa ke meetse	drown
kgano	rejection
kgaogantšhotswako	centrifugation
kgaolagare / molagare / taemetha / daemethara	diameter
kgaolelo / magomo	limit
kgaotšo / kemišo	adjournment
kgaotšo tshepetšo madi / kgaotšo kabomadi	circulatory shock
kgaotšotshepetšomadi / kgaotšokabomadi	circulatory shock
kgapa	ram
kgapeletšego ya nakwana / tlamego ya nakwana	temporary obligation
kgapetla ya aese / kgokolwana ya aese / aeskhristale	ice crystal
kgara / sefega / lefahla / sehuba	chest
kgare	wreath
kgase / moya / gase	gas
kgasetšhikanoši / kgasešomannosi	inert gas / noble gas
kgatako	violation
kgatako ya ditokelo tša botho	human rights violation
kgatelelo	pressure
kgatelelo ya madi	blood pressure
kgatelelo ya monagano	stress
kgatelelo ya monagano yeo e tseneletšego	depression
kgatelelo ya tšweletšo ya mašole a mmele	immunosuppression
kgatelelodiela	hydraulic
kgatelelofasemadi	hypotension / low blood pressure
kgatelelokgoloihlong / tlelokhoma	glaucoma
kgatelelomonego / kgateleloosemosisi	osmotic pressure
kgatelelopitlelo	compressive force / compression force
kgathi / thupa	rod
kgati / mpa	rope game
kgatišo ya mathomo ya seopedi sa ophera	operatic debut
kgatišo ya medumo le ditshwantšho	video
kgatišo ya mongwapo	block print
kgatišobaka	periodical
kgatišobaka / makasine	magazine
kgatišobaka / tšenale	journal
kgatišothalwa	blueprint
kgatla	sheath
kgato	foot
kgato	stage
kgato	step
kgato / grata / kelophišo / seelaphišo	degree
kgato / kelontlha / seelakhutlo	degree
kgato / lenao / leoto	foot
kgatonoši / kgatotee	single step
kgatswana / kotanatutu / llagananana ya mohlare	sapwood
kgauswi	close / near
kgauswi le	next to
kgašo	broadcast
kgašo ya difilimi	film media
kgašo ya elektroniki	electronic media
kgašo ya maphoto / kgašo ya ntle le metato	wireless
kgašokamogelo ya maphoto / seyalemoya / radio / waelese / wokithoki / radioseboledišani	radio / wireless
kgeila / tlerola / gagola	tear
kgetha	choose
kgetha	elect
kgetha kabinete	appoint the cabinet
kgetho	choice
kgetho go ya ka tsebo	informed choice
kgetho ya boemedi bja tekatekano	proportional representation ballot
kgetho ya go iša / kgetho ya lehlakore	choice of ends
kgetho ya kalafi / kgethokalafi	treatment option
kgetho ya mmino	musical taste
kgetho ya profense / kgetho ya profentshe	provincial ballot
kgetho ye botse	good choice
kgethokakaretšo	general election
kgethokemedi	block vote
kgethokemedi i ya mokgatlo	party block vote / PB
kgetholefsa / kgetholeswa	re-election
kgetholla	discriminate
kgethollo	discrimination
kgethollo / tshekamelo	prejudice
kgethologano ya bong	sexism
kgethologanyo	discrimination
kgethologanyo ya bong	gender discrimination
kgethompe	bad choice
kgethontši	cumulation
kgetla	oyster
kgetla / mmusele	mussel
kgetlogo	chipping
kgobalo	injury
kgobalo / ntho	tear
kgobalo ka tšhwaana	needle-stick injury
kgobalobjoko	brain damage
kgobalohlolwakebotšididi	frostbite
kgobela	heap
kgobela / kgoboketša / kgobokanya / kgobokantšha	accumulate
kgobogo	abrasion
kgoboketša	collect
kgoboketšo le thuto ka ditempe / filatheli	philately
kgoboketšo ya tshedimošo / kgoboketšo ya datha / kgoboketšo ya deitha	data capture
kgoboko / bokaalo	amount
kgobokodata / kgoboketšotshedimošo	data collection
kgobokotesimale	decimal collection
kgodi / mmuane / letobe / mogodi	fog
kgodi / mmuane / mogodi	mist
kgodišosekhwama	fundraising
kgodišothišu	tissue culture
kgoeletšo	proclamation
kgogedigare	centre of gravity
kgogelomorago ya khepetlele / kgogelomorago ya dithoto	capital flight
kgogo	chicken
kgogo	fowl
kgogolamooko / kgogolammoko	spring rain
kgogolego ka phefo	wind erosion
kgogonokana / kgogobadimo / letlono / modišana / lelobela	egret
kgogotshadi / sethole	hen
kgohlano	friction
kgohlo	sanding
kgoka / mammoge / ili	eel
kgokaganego / netwekeng	online
kgokaganego / onilaene	online
kgokagano	communication
kgokagano	interactive
kgokagano / kgokaganyo	communication
kgokagano / tšhanele	channel
kgokagano ka tsela ya eleketheroniki	electronic medium
kgokagano ya diselfoune / netweke ya diselfoune	cellular network
kgokagano ya lefaselohle inthaneteng	World Wide Web / WWW
kgokagano ya selegae / netweke ya selegae	local area network / LAN
kgokagano ye e nabilego / netweke ye e nabilego	wide area network / WAN
kgokaganya / kopanya / inthafeise	interface
kgokaganyi	linkage
kgokaganyokalafikgole / thelemedisene	telemedicine
kgokaganyomathale a mohlagase	electrical wiring
kgokanyi	link
kgoketšo	attraction
kgokgokgo / tselamoya	trachea / wind pipe
kgokgokgo / tselamoya	trachea / windpipe
kgokgono ya kabo ya mokitlana / kgokgono ya kabo ya sekoloto	credit squeeze
kgokolo	sphere
kgokong	blue wildebeest
kgolo	big
kgolo	development
kgolo	growth
kgolo go tša ikonomi	economic growth
kgolo ka boleng / kgolo ka theko	appreciation
kgolo ya inifoleišeine yeo e hlolago tlhatlogo ya motšhelo / kgolo ya inifoleišene yeo e hlolago tlhatlogo ya motšhelo	fiscal drag
kgolo ya letlotlo / kgolo ya khepetlele	capital growth
kgolo ya mmele	physical development
kgolo yeo e kgotlelelago / kgolo yeo e swarelelago	sustainable growth
kgolofalo	acquired deformity
kgolong / hektho	hecto
kgolophetišosele / neyopholaseme	neoplasm
kgomaganya / kopanya / hlakantšha	fuse
kgomarelago	sticky
kgomarelano	agglutination
kgomaretša / mamaretša	paste
kgomo ya tshadi / kgomotshadi	cow
kgonagalo	possibility
kgonagalo ya bothata	risk
kgonagalo ya tahlegelo / risiki	risk
kgonagalo ya tahlegelo le puno / risiki le puno	risk and reward / risk and reward ratio
kgonagalo ya tahlegelo ya matlotlo	financial risk
kgonego	probability
kgonthišišo	verification
kgonthišo	affirmation
kgontšha	enable
kgontšhago / šomago gabotse / šomago botse	effective
kgoogo	honey badger / ratel
kgopa	snail
kgopamego	skew
kgopamo / kobamo	curve
kgopanya / swaraganya	link
kgopaserapana / kgohu	garden snail
kgopelo	request
kgopha / tlotša	smear
kgopišegilego	aggrieved
kgopollela / kgothollela	download
kgopolo	memory
kgopolo / kakanyo	concept
kgopolo / memori	memory
kgopolo ye e fošagetšego ka ga selo	myth
kgopolo yeo e fošagetšego	misconception
kgoro	department
kgoro	kraal
kgoro ya matlotlo	treasury
kgoro ya mmušo	government department
kgoro ya mošate	royal court
kgoro ya tona	ministry
kgoro ya tsheko / kgorotsheko	court / court of law
kgorometša / kgarametša	push
kgoropo / kgogoropo	hornbill
kgorwana ya tefišo ya tšhomišo ya tsela	toll gate
kgothatša / homotša	reassure / comfort
kgothola / lahla	dump
kgothola / tšholla / ntšha	empty
kgotlelela	tolerate
kgotlelelano sepolitiking	political tolerance
kgotlelelo	tolerance
kgotlelelo / tia / kgwahla	durability
kgotlelelongangego	tensile strength
kgotsofala	contentment
kgoši	chief
kgoši / moetapele wa setšo	traditional leader
kgošigadi ya go neša pula	rain queen
kgwakgwafatšo	rustication
kgwašontšu	hoarseness
kgwebišano	partnership
kgwebišano ka dithoto tša go bonagala	visible trade
kgwebišano ka elektroniki	electronic transaction
kgwebišano ka gauta	gold trade
kgwebišano ka inthanete	e-commerce
kgwebišano le dinaga di šele	foreign trade
kgwebišano ye e sa bonagalego	invisible trade
kgwebo	commerce
kgwebo	enterprise
kgwebo	trade
kgwebo ya boditšhabatšhaba	international trade
kgwebo ya bokgoba	slave trade
kgwebo ya go aba ditirelo	service business
kgwebo ya go aba ditirelo	tertiary business
kgwebo ya mahala	free riding
kgwebo ya maloko a go se fete lesome / koporasi ya maloko a go se fete lesome	close corporation
kgwebo ya methopo ya tlhago	primary business
kgwebo ya mmino	music business
kgwebo ya mmušo	public enterprise
kgwebo ya phoraefete / kgwebo yeo e sego ya mmušo	private enterprise
kgwebo ye e lokologilego	free trade
kgwebo yeo e golago / kgwebo ya magareng	medium business / medium-sized business / medium enterprise
kgwebo yeo e lokišetšago thekišo	secondary business
kgwebo yeo e sego molaong	black market
kgwebo yeo e sego ya semmušo	informal trade
kgweboneelano	barter
kgwebopotlana / kgwebonnyane	micro business / micro-enterprise
kgwebopotlana / kgwebonnyane	small business
kgwedi	month
kgweditharong	trimester
kgwele	pelvis
kgwele / mangamolo	groin
kgwele ya go betha kota ya boela ka gare / kgwele ya go betha pala ya boela ka gare	rebound
kgwele ya go gegela go tšwa dinong / kgwele ya go kekemela thoko go tšwa dinong	outswinger
kgwele ya go gegela ka dinong / kgwele ya go kekela ka dinong	inswinger
kgwele ya go ngaya bašireletšadino ka bogare	through pass
kgwele ya go se šute / kgwele ya go ema	stationary ball
kgwele ya hlogo	header
kgwele ya maoto	soccer
kgwele ye e emego / bolo ye e emego	dead ball
kgwele ye e sego ya maleba / kgwele ye e sa amogelegego	defective ball
kgwele yeo e emišitšwego	ball out of play
kgweleletsogong	ball to the hand
kgwerano	coalition
kgwerano ya mekgatlo ya dipolitiki	apparentement / election coalition / electoral alliance / electoral pact
khabara ya CD	CD cover
khabetšhe	cabbage
khabondaeoksaete	carbon dioxide
khabone	carbon
khabonmonoksaete	carbon monoxide
khaete / sefeufeu	kite
khalamaene	calamine
khalekse	calix
khalentara ya bokgabo / tšhupamabaka ya bokgabo	arts calendar
khalipara	callipers
khalipha	caliper
khalkhuleitha	calculator
khalkhuleišene	calculation
khalori	calorie
khalsiamo	calcium
khalsiamokhaboneite / khaboneite ya kalaka / khaboneite ya laeme	calcium carbonate / carbonate of lime
khamphane ya therasete	trust company
khamphane yeo e sego ya ngwadišwa	unlisted company
khamphani ya bohle	public company
khamphani ya bokgabo / mokgatlo wa bokgabo	art company
khamphani ya diphahlo tša mohlakanelwa	joint stock company
khamphani ya go gatiša mmino	record company
khamphani ya inšorentshe / khamphani ya inišorentshe	insurance company / insurer
khamphani ya ophera	opera company
khamphani ya phoraefete / khamphani ye e sego ya mmušo	private company
khamphani ya tšweletšo	production company
khamphani yeo e gwebago ka dinageng tše dintši	multinational corporation / MNC
khamphani yeo e laolago dikhamphani tše dingwe	parent company / holding company
khamphase	compass
khampheine ya go retšisetara ya bakgethi / lesolo la go retšisetara ga bakgethi	voter registration campaign
khaneišene	carnation
khantshele	council
khantshele ya badiriši / khantshele ya bareki	consumer council
khantshele ya ditherišano	bargaining council
khantshele ya karolokgetho	constituency council
khantshele ya kopanyo	coordinating council
khantshele ya metropholithene	metropolitan council
khantshele ya mmasepala	municipal council
khantshele ya selegae	local council
khantshele ya selete	district council
khanyula	cannula
khaonthafoele	counterfoil / stub
khaparete / mmino wa ge go lewa	cabaret
khaphasitha	capacitor
khapohaetreite	carbohydrate
khapolete	caplet
khasete ya bidio / khasete ya bitio / khasete ya vidio	video tape / video cassette
khaseting ya santa	sand casting
khasikhara / khaskhara	cascara
khatboto	cardboard
khatentsha / baopelanoši ba gare ga sehlopa sa mmino	cadenza
khathak / mohuta wa mmino wa Seindia	kathak
khathaloko	catalogue
khathaloko ya mmino	music catalogue
khathaloko ya mmino	musical catalogue
khathara	gutter
khathetha	catheter
khathone / khatepokisi	carton
khatlelari / khatllari	cutlery
khefi	cafe / café
khefi ya inthanete	internet café / cyber café
kheibole / kheipole	cable
kheipini	cabin
kheisene	caisson
kheitše	cage
khekhe	cake
kheme	cam
khemese	pharmacy / chemist
khemfa	camphor
khemikhale	chemical
khemikhale ye e tšhumago / khemikhale ye e fišago / khostiki	caustic
khemikhalegarehlare	intermediate
khemisibookelo	hospital pharmacy
khemo / go buša moya	respiration
khemomaele	camomile / chamomile
khemotheraphi / kalafo ya kankere	chemotherapy
khena	can
khene	can
khepetlele / dithoto	working capital / current asset / current capital
khepetlele / matlotlo	capital
khepetlele ya diphahlo	physical capital
khephisulu / khepsule	capsule
khephisulutelele	closed joined length / CJL
khereini	crane
khereinitora	tower crane
kherempe / tlelempe	cramp / clamp
kheretšhe	crèche
khesa / sešupi	cursor
khethosisi	ketosis
khethoune	ketone
khetšhe / lifthi / elebeithara	lift / elevator
khii	key
khii efe goba efe	any key
khii ya AC / khiiphumulatšohle	AC key / All Clear key
khii ya C / khii ya go phumula	C key
khii ya CE / khiiphumula / khii ya go phumula	CE key / clear entry key
khii ya go batamela	neighbouring key
khii ya kgopolo / khii ya memori	memory key
khii ya kgopolo ya go elela / khii ya memori ya go ela / khiikelelo ya memori	memory recall key
khii ya naletšana	asterisk key
khii ya palelo	calculating key
khii ya sebaledi ya go fa karabo	constant function
khiiboto	keyboard
khiipoto	keyboard
khilolitara	kilolitre / kl
khilometara	kilometre / km
khilomithara / km	kilometre / km
khilotšule	kilojoule / kJ
khiphara	keeper
khirikhete	cricket
khirikhete	firecracker
khiriphole / sethekgi	cripple / cripple jack rafter
khiti ya kago / khiti ya tlhamo	construction kit
khoile / legaro	coil
khokhonate	coconut
khokhune	cocoon
kholara	collar
kholatherale / tšhireletšo ka dithoto	collateral
kholatherale / tšhireletšo ka dithoto	collateral / security
kholebete	culvert
kholego ka morago ga lehu / penefiti ya morago ga lehu	death benefit
kholera	cholera
kholeseterole	cholesterol
kholetše	college
kholomo	column
kholomokrafo	column graph
kholoro / segolo	collar
khoma / fegelwana	comma
khomišene	commission
khomišene ya dinyakišišo	commission of enquiry
khomphaontekhapone	organic compound
khomphonente / karolwana	component
khomphutha	computer
khomphyutha / khomphiutha	computer
khomphyutha / khompiutha / khomphuthara	computer
khomreite / lekhomo	comrade
khonisi	cornice
khonkhoriti	concrete
khonkhoritidiretšweruri	dry-packed concrete
khonkhoritikgwahlišwamorago	post-stressed concrete / post-tensioned concrete
khonkhoritikgwahlišwapele	pre-stressed concrete / pre-tensioned concrete
khonkhorititia	monolithic concrete
khonkhorititšhipikgwahlišwa	reinforced concrete
khonkhoritsenywamoya	air-entrained concrete
khonsata ya mmino wa rokho	rock concert
khonsate ya mmino	music concert
khonsate ya simifoni	symphony concert
khonsetho / koša ya go ngwalelwa seletšo sa moopelanoši	concerto
khontensara ya Liebig / khondensara ya Liebig / khontentshara ya Liebig	Liebig condenser
khonthua / thapalalo	contour
khontomo / kgotlopo	condom / see also male condom; female condom
khontomo ya banna	male condom / CD / French letter / FL / sheath / raincoat / overall / rubber
khontomo ya basadi / kgotlopo ya basadi	female condom / Femidom
khopalte / khobalte	cobalt
khopele	corbel
khophaphini / phini ya koporo	copper pin
khophasalfeite / koporosalfeite	copper sulphate
khophi / sengwalollwa	copy
khostikisoda / khostikisota	caustic soda / sodium hydroxide
khothete	quartet
khothete ya diletšo tša mathale	string quartet
khoune	cone
khouta	quota
khouta / palo ye e beilwego ya ditšweletšwa	quota
khoute	code
khoute ya poso	postal code
khoutu	code
khoututitelatologo	enteric coating
khrayone / khala	crayon
khreine	crane
khristale	crystal
khrotšhete / kwagetšo	crochet
khroumo / koromo	chrome
khudu	tortoise
khudumeetse / pshinyaleraga	greenback turtle
khuetšo	influence
khuetšo ya go se be maleba	undue influence
khukhune	puparium
khukhuša	bloom
khukhušolwetši / tlholegolwetši	pathogenesis
khulara	cooler
khunkhwane	insect
khunyetšo / khunyelo	contraction
khupetša	insulate
khupetša / thibela	insulate
khupetšo / mmaltšhe	mulch
khupetšo / pipo / kapešo	covering
khupetšontho	dressing
khupikimetara	cubic metre / m³
khupikisentimetara	cubic centimetre / cm³
khutla / sekhutlo / khona	corner kick
khutlo	angle
khutlo	dot
khutlo	point
khutloahlama	obtuse angle
khutlobapi	adjacent angle
khutlolebotontle / khwaene	quoin
khutlonne	quadrangle
khutlonne / hlakorenne	quadrilateral / quadrangular / tetragonal
khutlonnethwii	rectangle
khutlonnethwii	rectangular
khutlontlha	acute angle
khutlontšhi ya tlwaelo / sebopegohlakorentšhithwii / sebopego sa mahlakore a go lekana	regular polygon
khutlotesimale	decimal point
khutlotharo	triangle
khutlothwii	straight angle / angle of continuation / flat angle
khutlotsepa	right angle
khutsofatša	abbreviate
khutsofatšo	abbreviation
khutsofatšo ya kelelamohlagase	short circuit
khutsofatšo ya kelelamohlagase	short-circuit
khutšišobolaong	bed rest
khutšo	peace
khuša	process
khušene ya moya / semomamoya	air-cushion
khwaere	composite choir
khwaere ya banna	male-voice choir
khwalithi / boleng	quality
khwaterilione	quadrillion
khwašiokho	kwashiorkor
khwešenee / lenaneotšhomo	questionnaire
khwinine	quinine
khwinthilione	quintillion
khwithiwatle / pitšhi	beach
kibopelobjako	tachycardia
kidibalo	syncope
kidibatšoyammeleohle	general anaesthesia / general anesthesia
kidibatšoyammeleohle / kidibatšommelemoka	general anaesthesia / general anesthesia
kiki	gig
kiletšo	ban
kiletšo	embargo
kimelo	mass
kimišo ya maitirelo / go imiša ga maitirelo / kemerišo ya maitirelo	artificial insemination
kimo / boithwalo	conception
kimollo go motšhelo / kimollo go lekgetho	tax relief
kimollo sekolotong	debt relief
kimollo ya nakwana sekolotong	forbearance
kimontlepopelo	in vitro fertilisation / test-tube conception / IVF
kiniphiki	guinea pig
kinipitang / kinipitane	pliers
kirili	grille
kitara / sethekgamoago	girder
kiwiti / sebota	plover / kiewiet
kišantle / seišantle	outlet
kliniki ya go thetha	mobile clinic
kliniki ya tša maphelo	clinic / health clinic / health-care clinic
koba	arch
koba	cross
koba / mena	bend
kobamelo	adherence / compliance
kobamelo	compliance
kobamelotšhomišohlare	medication compliance
kobegago gabonolo	pliable
kobegelanthago	skewback / springer
kobegilego / kgopamego / kobilwego	bent
kobi / akhe / atšhe	arch
kobimeetlwa / hukumeetlwa	barbed hook
kobitena / sekaboratena	axed arch
kobo / lepai	blanket
kobotšhireletšakago	batt
kodu	larynx
koketšego ya batho bao ba fetšwego ke bolwetši bjoo bo itšego nakong yeo e itšego	incidence
koketšego ya kabo / kgolo ya kabo	supply increase
koketšo / tlaleletšo	extra
koketšo go lešokotšo / tefelotlaleletšo go lešokotšo	excess returns
koketšo ya meetse mmeleng	rehydration
koko / makgolo	grandmother / granny
kokolehute / kokologute / mogolodi / mogwale	heron
kokomoga	swell
kokomošwa ke borutho	thermal expansion
kokona	gnaw
kokotela	hammer
kokotwane / kokontwane	tent peg
kokwana	micro-organism
kokwana / leboto	buttress
kokwanalepheko / palusetere	baluster
kokwanatlhoko ya AIDS / kokwanatlhoko ya go fokotša mašole a mmele mo mothong / baerase ya phamokate / baerase ya sephamola / HIV	HIV / human immunodeficiency virus / Aids virus
kokwane	strut
kokwane / kasete	gusset
kolobe	pig / swine
kolobitsane / nokolwane / konditsane	tadpole
koloi / mmotoro / sefatanaga / sejanaga	car
koloni / diphelammogo	colony
koma	initiation
komelelo	drought
komiki	cup / measuring liquids
komiti	committee
komiti ya boditšhabatšhaba	international committee
komiti ya boipelaetšo	appeal tribunal
komiti ya dikgokaganyo ya mekgatlo	party liaison committee
komiti ya go ya go ile	standing committee
komiti ya photfolio	portfolio committee
komiti ya sehlopha	club committee
komiti ya wate	ward committee
komiti ye nnyane	subcommittee
komitikopanelwa	joint committee
komitiphethiši / komitiphethišo	executive committee
komititaolo / tshepedišo	management committee
komititebalelo	amnesty committee
komititebanyamodiro	ad hoc committee
komititshepedišo	steering committee
komišo / go hloka meetse / go kgagamatša / tlhokišomeetse / ntšhetšo ya meetse	dehydration
kompong / lefelo la bodulo	compound
konope ya tšhipi / konope ya metale	metal button
konopi	button
konopi ya go hlakanya	plus button
konopi ya maose	mouse button
konopikemišo ya tšhoganetšo / konopikemišo ka tšhoganetšo	emergency stop button
konteraka ya khirišetšano / tumelelano ya khirišetšano	lease agreement
konupebolume / konupevolume	volume button
kopa / kopola / kobola	peck
kopana	short
kopano	union
kopano ka sephiring / kopano ka kutamong	in camera meeting
kopano ya sephiring	caucus meeting
kopanosephiring / kopanosekhung ya phathi	party caucus
kopantšha	unite
kopantšha / swaraganya	connect / join
kopantšho / momaganyo	connection
kopantšho ya dinomoro / kopantšho ya dipalo	number combination
kopanyo	combination
kopoino / thunyetšoino	toothache
koporase	corporation
koporo / khopha	copper / Cu
koporotleloraete / khophatlloraete	copper chloride
korila	gorilla
korobetša / inela / karabetša / tlwenya / subetša meetseng	immerse
korone	crown
korong	wheat
korong	wheat plant
korosari	groceries
kota / lepolanka	timber
kota / thata	log
kota moswe	squat-jump
kota ya ka thoko ya bonošadinong / pala ya ka thoko ya bonošadinong	goalpost
kotakgodišaboleng / beniyere / veniyere	veneer
kotallaga	plywood
kotama	land
kotara / nneng / senneng	quarter
kotara go tšwa go	quarter past
kotara go ya go	quarter to
kotasethekgabolao	sleeper
kotlo	punishment
kotlo	sentence
koto	thick
kotobokalepu	webbed foot
kotofatšotšhika / atheriyosetlelosisi	arteriosclerosis
kotse	shield
kotsi	accident
kotsi ya koloi / kotsi ya mmotoro	car accident
kotsipheding	biohazard / biological hazard
kotsiphelo	health hazard
koša	song
koša ya basesi	rowing song
koša ya bosetšhaba	national anthem
koša ya dipotšišo le dikarabo	call-and-response
koša ya go dumediša	greeting song
koša ya go tantsha / pina ya go tantsha	dance track
koša ya lenyalo / koša ya mokete	wedding song
koša ya marato	romantic ballad
koša ya medumo ya go thunya	click song
koša ya setšo	folksong
kraentara / kraendara	grinder
kraentara ya go kgomeretšwa fase	pedestal grinder
kraepewotha	gripe water
krafaete	graphite
krafo	graph
krafo ya mothaladi / krafothaladi	line graph
krafo ya ploko / krafo ya bloko	block graph
krisi / makhura	grease
kristale ya ayontine / khristale ya ayotine / kristale ya ayodine / khristale ya ayotine / kgapetla ya ayotine	iodine crystal
kriti	grid
kriti	grid / lattice
kubu	hippopotamus / hippo
kudumela / sethitho / mphufutšo	sweat
kuka / phagamiša	lift
kukura / phelikhene	pelican
kuma / mmino wa moswananoši wa Kapa	ghoema
kuranta	newspaper
kuranta ya mmušo	gazette
kuranta ya pušo ya probentshe / kuranta ya pušo ya profense / kuranta ya pušo ya provense / kasete ya profense / kazete ya profense	provincial gazette
kuruetša / konkoretša	coo
kutollo	disclosure
kutu	stem
kutu ya mohlare	tree trunk / trunk
kutu ye thata	woody stem
kutullo / khumano / khwetšo	finding
kututlakala	leaf stalk
kuwauwetšo	canvass
kuwauwetšo ya bakgethi	voter canvassing
kwa tatso / kwa mohlodi	taste
kwalakwatšo ya dikgetho	campaign / election campaign
kwalakwatšo ya dikgetho	electoral advertising
kwalakwatšo ya go thekga	roadshow
kwalakwatšo ya sepolitiki	political advertising
kwana	correspond
kwano	compromise
kwelobohloko	empathy
kwena	crocodile
kwenkweletša	crow
kwešiša	grasp
kwešiša	understand
kwešišego	comprehension
kwišišo ya tša theknolotši	technological literacy
l / litara	litre / l
la go ja	right
laekhene	lichen
laemetimolwa	slaked lime
laesense ya thelebišene / laesense ya thelevišene / laesentshe ya thelebišene / laesentshe ya thelevišene	television licence / TV licence
laetša / bontšha	indicate
laetša / bontšha / kgonthišiša	determine
lahliša letswele / tshweša letswele	wean
laminaete	laminate
lamineitha	laminate
laodiša / boledišana / ahlaahla	discuss
laola	regulate
laola papadi / laola thaloko / laola mmetšhe	officiate
lapa	household
lapa / legoro / lešika / leloko	family
lapa kudu	fatigue
laporatori	laboratory
laporethri / laborethri	laboratory
latela	succeed
latelago	next
latelela mophenkgišani go tšwa ka morago	charge an opponent from behind
lathekese	latex
latišiša	follow up
latišiša	trace
leabela	heredity
leana / obiule / obiyule	ovule
leano	strategy
leano la ekonomi ya setšhaba	socio-economic strategy
leano la kgwebo	business plan
learogi	exception
lebae / bodulo	habitat
lebaka	cause
lebake	dagga
lebala / molala / mogola	open field
lebala / sefammala	pigment
lebala la maleba / mabu a maleba / mmu wa maleba / mobu wa maleba	suitable ground
lebana	opposite
lebatihwidinyega	swing door
lebatimenegagobedi	bifold door
lebatintikodiko / lebatidikologa	revolving door
lebatiphuthwa	collapsible door
lebatiphuthwa / lebatimenego	folding door
lebatitheledi / lebatireledi	sliding door
lebato	floor
lebato la ka godimo / lebatogodimo	upper level
lebato la kota	wooden floor
lebato la maloko a Ngwako	floor of the House
lebatomesetwana	strip flooring
lebatopapetla / lebatophaphathi	flatwork
lebatotiišetšwa	filler-joist floor
lebelo	pace
lebelo	speed
lebelo	velocity
lebelo la neeletšano	relay race
lebeloboikgethelo / lebelotekanywa / lebelonobonobo	cruising speed
lebelokgolo / tekanyokgolo / reite ya kgolo	growth rate
lebelophetamodumo / suphasonike	supersonic
lebete	spleen
lebipi / lemipi	blubber
leboa	north
leboabodikela / leboabosobela	north-west
leboabohlabela	north-east
leboatšhupšwa ke maknete	magnetic north
lebollo	circumcision / see also female circumcision
lebollo la basadi	female circumcision / female genital mutilation
lebone	lamp
lebone / mabone	lighting
lebone la go sekena	scanner beam
leboo	cycle
lebopo	shore
lebotlelo / lebetlelo / lepotlelo	bottle
lebotlelorothiši / lebotlelomarothi	drop bottle
leboto	wall
leboto / lebota	wall
lebotogalase	structural glass
lebotoikema	non-load bearing wall
lebotokgaogantšhi / phathišene	partition
lebotokgaoganyameago	party wall
lebotokgogašedi	faced wall
lebotomokokotlo / lebotompopotlo	spine wall
lebotophaphamalo	floating wall
lebotopheko	sleeper wall
lebotopheko / pharaphete	parapet
lebotorwalaboima	load-bearing wall
lebotoserwalaboima	shear wall
lebotothekgi	bearing wall
lebotothibamollo	firewall
lebototlasetlasekgabišwa	wainscot
lebotwana	dwarf wall
lebudi / maholofetše / legotlotshotho	brown rat
ledimo	dust storm
ledimo	gale
ledimo	sandstorm
ledimo	storm
ledimo / mamogašwa / mamokebe	tornado
lee	egg
lee / obamo	ovum
lee la sebokosilika / lee la sebokosiliki	silkworm egg
leeba	dove
leeba	pigeon
leemo	posture
leemo / seemo	state
leenontšhwa	fertilised egg cell
leetlhokakgapetla	naked egg
leeto	journey
leeto	trip
leeto la mmino	musical journey
lefa sekoloto ka sekoloto / lefa mokitlana ka mokitlana	refinance
lefahla	twin
lefapa la boahlodi	judiciary
lefapha / lefapa	directorate
lefapha la bohwa	heritage sector
lefapha la taolo ya dikgetho	election administration directorate
lefapha la tekolo la IEC	Commission logo / IEC monitoring directorate
lefapha la tša poso / poso	post office
lefase	earth
lefase	globe / world
lefase	land
lefase leo le hlabologilego	developed world
lefasefatšo	globalisation
lefasetere	window sill
lefaseterelekeleke / tleresetori	clerestory
lefaseterelekeleketšweledi	oriel window
lefaseterempopotlo / lefaseteretšweledi	bay window
lefaseterepenoga	awning window
lefaseterepulelothoko	casement
lefaseteretheledi	window sash
lefaseteretheledi / lefaseterereledi	sash window / cased window
lefaseteretlhakatšweledi / lefaseteretlhakampopotlo / tomara	dormer
lefaseteretšhoganetšo	egress window
lefaufau	atmosphere
lefaufau	outer space
lefela	maize / mealies / corn
lefela	pay
lefela / lehea / mmidi	mealie
lefela / lehea / mmidi	mealie meal
lefelašilwa / lefelasetlwa	crushed mealies
lefelo	venue
lefelo la bohle	public place
lefelo la boingwadišo / lefelo la go retšisetara	registration point
lefelo la boingwadišo / lefelo la go retšisetara	registration venue
lefelo la bosenyi	crime scene
lefelo la dino	goal area
lefelo la dithaba	mountainous area
lefelo la go binela / lefelo la go tantshetša	dance floor
lefelo la kgwebišano	exchange
lefelo la khantshele ka nako ya phetolelo	transitional council area
lefelo la maatlamohlasegasephehlwa ke meetse	hydroelectric power station
lefelo la metropholithene	metropolitan area
lefelo la mmadi	enumerators' area
lefelo la mmino	music scene
lefelo la moepo	mining area
lefelo la pula tša marega	winter rainfall region
lefelo la pula tša selemo	summer rainfall region
lefelo la tša maphelo / lefelokalafi	health facility
lefelo la tša maphelo la setšhaba	community health centre
lefelo leo le ka dirwago setiši sa go bouta	potential voting station
